Nr,X1,Y1,X2,Y2
1424,650835.408217,434868.241968,650840.377026,434867.684347
1425,650845.276787,434867.174731,650840.310875,434867.757585
1426,650828.553214,434809.742874,650833.518819,434809.157409
1427,650828.218699,434806.695502,650833.184304,434806.110039
1428,650838.116649,434805.573322,650833.149704,434806.147305
1429,650838.369898,434808.534845,650833.402953,434809.108828
1430,650821.129146,434748.165885,650826.093551,434747.570334
1431,650820.796159,434745.062809,650825.760564,434744.467257
1432,650830.879907,434744.280203,650825.914307,434744.865706
1433,650831.220534,434747.104755,650826.254934,434747.690259
1434,650813.872265,434686.533958,650818.838105,434685.95049
1435,650823.767921,434685.495331,650818.802627,434686.083424
1436,650806.910913,434624.217018,650811.876753,434623.633552
1437,650816.921035,434623.070036,650811.955741,434623.658129
1438,650799.414618,434561.658711,650804.382543,434561.093274
1439,650809.426267,434560.456021,650804.458786,434561.025351
1440,650792.182908,434499.038754,650797.150833,434498.473319
1441,650802.165176,434497.891003,650797.197695,434498.460333
1442,650784.967402,434436.404535,650789.935327,434435.839099
1443,650794.834441,434435.392988,650789.864012,434435.935976
1444,650777.829541,434374.122256,650782.79515,434373.536831
1445,650787.67331,434372.942829,650782.706028,434373.513893
1446,650770.52816,434311.569308,650775.497174,434311.01352
1447,650780.453958,434310.447876,650775.486676,434311.018939
1448,650764.412662,434248.775714,650769.381676,434248.219924
1449,650774.483069,434247.463132,650769.514693,434248.02459
1450,650756.636124,434187.325112,650761.60291,434186.749755
1451,650766.264427,434186.151858,650761.297994,434186.730258
1452,650749.188896,434125.742239,650754.155682,434125.166883
1453,650759.36538,434124.656754,650754.399048,434125.236014
1454,650741.997829,434064.030065,650746.964615,434063.454709
1455,650751.820092,434063.025235,650746.854449,434063.610373
1456,650734.894473,434002.798625,650739.86047,434002.216498
1457,650744.707539,434001.541652,650739.740392,434002.113881
1458,650727.732852,433940.986228,650732.698849,433940.404102
1459,650737.522439,433939.760899,650732.557341,433940.350648
1460,650720.489924,433879.709289,650725.455921,433879.127163
1461,650730.311158,433878.507435,650725.34606,433879.097186
1462,650713.164299,433817.868257,650718.130296,433817.286131
1463,650723.163156,433816.724582,650718.194224,433817.281104
1464,650706.090865,433756.357492,650711.056862,433755.775365
1465,650715.964165,433755.316921,650711.007635,433755.974803
1466,650698.838657,433694.649957,650703.805202,433694.072518
1467,650708.78953,433693.372552,650703.822234,433693.943492
1468,650691.950159,433636.148509,650696.916704,433635.571071
1469,650691.567237,433632.9942,650696.533782,433632.416763
1470,650701.575289,433632.10266,650696.607993,433632.6736
1471,650684.937163,433574.616947,650689.903444,433574.037245
1472,650684.614477,433571.679049,650689.580758,433571.099348
1473,650694.396921,433570.595602,650689.431173,433571.179849
1474,650694.732888,433573.813203,650689.76714,433574.397449
1475,650677.725778,433513.033848,650682.692059,433512.454146
1476,650687.720548,433511.862601,650682.7548,433512.446847
1477,650670.442919,433450.581617,650675.4092,433450.001916
1478,650680.528544,433449.453238,650675.562796,433450.037484
1479,650662.996723,433387.977629,650667.963004,433387.397926
1480,650673.153808,433386.951327,650668.18806,433387.535574
1481,650656.250939,433329.530046,650661.21722,433328.950345
1482,650655.848621,433326.434946,650660.814902,433325.855244
1483,650665.851558,433325.318816,650660.885428,433325.899806
1484,650666.167107,433328.398608,650661.200977,433328.979597
1485,650649.003801,433267.889372,650653.970082,433267.309669
1486,650648.542274,433264.774878,650653.508555,433264.195177
1487,650658.566661,433263.993574,650653.60053,433264.574563
1488,650658.967952,433266.891656,650654.001822,433267.472645
1489,650641.658656,433206.347723,650646.624937,433205.768021
1490,650651.697324,433205.282629,650646.731193,433205.863617
1491,650634.462504,433143.910816,650639.428723,433143.330587
1492,650644.448074,433142.487415,650639.481944,433143.068404
1499,650605.519377,432895.263998,650610.485596,432894.68377
1500,650615.731672,432896.511035,650610.765542,432897.092025
1507,650576.744551,432648.13449,650581.71077,432647.554262
1508,650586.585168,432646.873388,650581.618893,432647.453136
1509,650569.408476,432586.845013,650574.374726,432586.265045
1510,650579.541049,432585.653313,650574.574773,432586.23306
1511,650562.420589,432528.095315,650567.386839,432527.515346
1512,650572.557246,432526.931174,650567.590971,432527.510923
